Дата,Артикул,Название,Категория,Тип изменения,Старое значение,Новое значение,Разница
2026-09-23 16:52:05,G1580023-TW,Майка детская Bidi Badu Twiggy Chill - Blue/Mixed,Одежда,Изменение количества,7,5,-2
2026-09-23 16:52:05,W214102222,Платье женское Bidi Badu Tuelo Tech - Blue/White/Red,Одежда,Изменение количества,1,2,1
2026-09-23 16:52:05,G1200001,Капри для девочек Bidi Badu Crew - Black,Одежда,Изменение количества,1,5,4
2026-09-23 16:52:05,61GC260314,Кроссовки мужские Mizuno Wave Enforce Tour 2 CC - Blue/White/Orange,Обувь,Новый товар,0,8,8
2026-09-23 16:52:05,TS76-0116,Кроссовки мужские 7/6 Marble 2.0 - Green Blossom,Обувь,Изменение количества,4,33,29
2026-09-23 16:52:05,TS76-1264,Кроссовки мужские 7/6 Marble 2.0 - Orange Blossom,Обувь,Изменение количества,8,58,50
2026-09-23 16:52:05,TS76-0201,Кроссовки мужские 7/6 Marble 2.0 - Dark Grey,Обувь,Изменение количества,47,83,36
2026-09-23 16:52:05,TS76-4939,Кроссовки женские 7/6 Marble 2.0 - Blue Blossom,Обувь,Изменение количества,42,12,-30
2026-09-23 16:52:05,61GA260002,Кроссовки мужские Mizuno Wave Enforce Tour 2 AC - White/Blue/Orange,Обувь,Новый товар,0,9,9
2026-09-23 16:52:05,61GA267002,Кроссовки мужские Mizuno Wave Exceed Tour 7 AC - White/Blue/Orange,Обувь,Новый товар,0,7,7
2026-09-23 16:52:05,61GC267514,Кроссовки мужские Mizuno Wave Exceed Tour 7 CC - Blue/White/Orange,Обувь,Новый товар,0,8,8
2026-09-23 16:52:05,61GC260402,Кроссовки женские Mizuno Wave Enforce Tour 2 CC - White/Orange/Dahlia,Обувь,Новый товар,0,6,6
2026-09-23 16:52:05,1920003,"Теннисная струна Solinco Hyper-G 1,20 200 метров",Теннисные струны,Изменение количества,22,3,-19
2026-09-23 16:52:05,281032-PT,"Теннисная струна Head Hawk Power 1,25 200 метров",Теннисные струны,Изменение количества,3,1,-2
2026-09-23 16:52:05,281099,"Теннисная струна Head Rip Control 1,20 12 метров",Теннисные струны,Изменение количества,16,3,-13
2026-09-23 16:52:05,281204,"Теннисная струна Head Hawk Touch 1,25 12 метров",Теннисные струны,Изменение количества,5,9,4
2026-09-23 16:52:05,243140,"Теннисная струна Babolat RPM Blast Rough Red 1,25 200 метров",Теннисные струны,Изменение количества,2,1,-1
2026-09-23 16:52:05,281103-WH,"Теннисная струна Head Hawk - White 1,25 12 метров",Теннисные струны,Изменение количества,26,24,-2
2026-09-23 16:52:05,281794-16YW,"Теннисная струна Head LYNX Yellow 1,30 12 метров",Теннисные струны,Изменение количества,1,72,71
2026-09-23 16:52:05,1920011,"Теннисная струна Solinco Outlast 1,30 12 метров",Теннисные струны,Изменение количества,115,116,1
2026-09-23 16:52:05,281794-16AN,"Теннисная струна Head LYNX (антрацит) 1,30 200 метров",Теннисные струны,Изменение количества,55,4,-51
2026-09-23 16:52:05,281784-BL,"Теннисная струна Head LYNX Blue 1,25 12 метров",Теннисные струны,Изменение количества,23,26,3
2026-09-23 16:52:05,WR8302301130,"Теннисная струна Luxilon Alu Power 1,30 12 метров",Теннисные струны,Изменение количества,56,55,-1
2026-09-23 16:52:05,281784,"Теннисная струна Head LYNX Blue 1,30 12 метров",Теннисные струны,Изменение количества,4,36,32
2026-09-23 16:52:05,LNP12-FY,"Теннисная струна 7/6 Lion Pro - Yellow 1,24 12 метров",Теннисные струны,Изменение количества,25,16,-9
