Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,ORS-7601,Чехол для ракетки 7/6 One Racket - Black,7/6,4990 ₽,https://saletennis.com/catalog/product/chiekhol-dlia-rakietki-7-6-one-racket-black-19469,Соболева: 2 шт | Бисертская: 2 шт | Уфа: 2 шт | Ижевск: 4 шт | Тюмень (Народная): 2 шт | Санкт-Петербург (Спортивная): 7 шт | Санкт-Петербург (Ярослава Гашека): 2 шт | Парина: 5 шт,26.0,public/data/product_images/1777e8c9b0be.webp,2.0,7.0,0,2.0,5.0,2.0,0,2.0,2.0,4.0
Сумки и чехлы,ORS-1215,Чехол для ракетки 7/6 One Racket - Brown,7/6,4990 ₽,https://saletennis.com/catalog/product/chiekhol-dlia-rakietki-7-6-one-racket-brown-19470,Тюмень (Народная): 1 шт | Бисертская: 2 шт | Ижевск: 3 шт | Парина: 4 шт | Санкт-Петербург (Ярослава Гашека): 3 шт | Уфа: 4 шт | Соболева: 3 шт | Санкт-Петербург (Спортивная): 8 шт,28.0,public/data/product_images/aba3b34f74e9.webp,3.0,8.0,0,3.0,4.0,2.0,0,1.0,4.0,3.0
Сумки и чехлы,ORS-1632,Чехол для ракетки 7/6 One Racket - Shell Pink,7/6,4990 ₽,https://saletennis.com/catalog/product/chiekhol-dlia-rakietki-7-6-one-racket-shell-pink-19471,Уфа: 4 шт | Санкт-Петербург (Спортивная): 7 шт | Тюмень (Народная): 2 шт | Ижевск: 4 шт | Парина: 5 шт | Соболева: 4 шт | Санкт-Петербург (Ярослава Гашека): 3 шт | Бисертская: 2 шт,31.0,public/data/product_images/f039c6d722b8.webp,3.0,7.0,0,4.0,5.0,2.0,0,2.0,4.0,4.0
Сумки и чехлы,KB276-BL,Детский рюкзак 7/6 Kids Backpack 2.0 - Blue,7/6,4990 ₽,https://saletennis.com/catalog/product/dietskii-riukzak-7-6-kids-backpack-2-0-blue-18814,Парина: 2 шт | Санкт-Петербург (Спортивная): 2 шт | Бисертская: 1 шт | Ижевск: 2 шт | Тюмень (Народная): 1 шт | Санкт-Петербург (Ярослава Гашека): 3 шт | Соболева: 1 шт | Уфа: 1 шт,13.0,public/data/product_images/550f78ab7b47.webp,3.0,2.0,0,1.0,2.0,1.0,0,1.0,1.0,2.0
Сумки и чехлы,KB276-PK,Детский рюкзак 7/6 Kids Backpack 2.0 - Pink,7/6,4990 ₽,https://saletennis.com/catalog/product/dietskii-riukzak-7-6-kids-backpack-2-0-pink-18815,Санкт-Петербург (Ярослава Гашека): 3 шт | Ижевск: 1 шт | Санкт-Петербург (Спортивная): 5 шт | Тюмень (Народная): 1 шт | Бисертская: 2 шт,12.0,public/data/product_images/e64d87db9ae3.webp,3.0,5.0,0,0.0,0.0,2.0,0,1.0,0.0,1.0
Сумки и чехлы,260704-BKWH,Мешок для обуви Head Tour Shoe Bag - Black/White,Head,1774 ₽,https://saletennis.com/catalog/product/mieshok-dlia-obuvi-head-tour-shoe-bag-black-white-17177,Санкт-Петербург (Спортивная): 10 шт,10.0,public/data/product_images/7bfe3253fdb2.webp,0.0,10.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,shoebag1,Мешок для обуви Saletennis,Saletennis,490 ₽,https://saletennis.com/catalog/product/mieshok-dlia-obuvi-saletennis-14405,Соболева: 2 шт | Парина: 1 шт | Тюмень: 3 шт | Санкт-Петербург (Ярослава Гашека): 8 шт | Бисертская: 3 шт | Основной склад Екатеринбург: 123 шт | Тюмень (Народная): 15 шт | Санкт-Петербург (Спортивная): 11 шт,166.0,public/data/product_images/44bbf60b4dae.webp,8.0,11.0,123,2.0,1.0,3.0,0,18.0,0.0,0.0
Сумки и чехлы,TB76-BL,Рюкзак 7/6 Tennis Backpack 2.0 - Blue,7/6,6990 ₽,https://saletennis.com/catalog/product/riukzak-7-6-tennis-backpack-2-0-blue-16789,Санкт-Петербург (Ярослава Гашека): 2 шт | Бисертская: 1 шт | Санкт-Петербург (Спортивная): 3 шт | Уфа: 1 шт | Ижевск: 1 шт | Соболева: 1 шт,9.0,public/data/product_images/5f93c445b2f8.webp,2.0,3.0,0,1.0,0.0,1.0,0,0.0,1.0,1.0
Сумки и чехлы,TB76-GR,Рюкзак 7/6 Tennis Backpack 2.0 - Grey,7/6,9990 ₽,https://saletennis.com/catalog/product/riukzak-7-6-tennis-backpack-2-0-grey-18655,Уфа: 1 шт | Тюмень (Народная): 1 шт | Елизаветенское шоссе: 1 шт | Бисертская: 1 шт | Ижевск: 1 шт | Парина: 2 шт | Соболева: 2 шт,9.0,public/data/product_images/9ca604bdb562.webp,0.0,0.0,0,2.0,2.0,1.0,1,1.0,1.0,1.0
Сумки и чехлы,TB76-RD,Рюкзак 7/6 Tennis Backpack 2.0 - Red,7/6,6990 ₽,https://saletennis.com/catalog/product/riukzak-7-6-tennis-backpack-2-0-red-16790,Парина: 1 шт | Ижевск: 2 шт | Тюмень (Народная): 1 шт | Тюмень: 1 шт | Санкт-Петербург (Ярослава Гашека): 2 шт | Санкт-Петербург (Спортивная): 1 шт | Соболева: 1 шт | Уфа: 2 шт | Бисертская: 1 шт,12.0,public/data/product_images/0b795d0bc822.webp,2.0,1.0,0,1.0,1.0,1.0,0,2.0,2.0,2.0
Сумки и чехлы,753095-342,Рюкзак Babolat Classic Black/Beige,Babolat,3990 ₽,https://saletennis.com/catalog/product/riukzak-babolat-classic-black-beige-11421,Тюмень: 1 шт | Тюмень (Народная): 1 шт,2.0,public/data/product_images/d9beb884bb83.webp,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0
Сумки и чехлы,753110-136,Рюкзак Babolat Pure Drive 2025,Babolat,11992 ₽,https://saletennis.com/catalog/product/riukzak-babolat-pure-drive-2025-17508,Парина: 1 шт,1.0,public/data/product_images/325c0eebabab.webp,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,753118-100,Рюкзак Babolat Pure Strike 2026,Babolat,11992 ₽,https://saletennis.com/catalog/product/riukzak-babolat-pure-strike-2026-18749,Парина: 1 шт,1.0,public/data/product_images/565767e107fd.webp,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,261235-BK,Рюкзак Head Base Backpack 17L - Black,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-black-18136,Санкт-Петербург (Спортивная): 1 шт | Соболева: 1 шт | Парина: 2 шт,4.0,public/data/product_images/bda568c9d7ec.webp,0.0,1.0,0,1.0,2.0,0.0,0,0.0,0.0,0.0
