Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,ORS-1632,Чехол для ракетки 7/6 One Racket - Shell Pink,7/6,4990 ₽,https://saletennis.com/catalog/product/chiekhol-dlia-rakietki-7-6-one-racket-shell-pink-19471/,Уфа: 4 шт | Санкт-Петербург (Спортивная): 8 шт | Тюмень (Народная): 2 шт | Ижевск: 4 шт | Парина: 5 шт | Соболева: 4 шт | Санкт-Петербург (Ярослава Гашека): 3 шт | Бисертская: 2 шт,32,data\product_images\943ea3091107.png,3,8,0,4,5,2,0,2,4,4
Сумки и чехлы,260616-BL,Сумка Head Tour Racquet Bag L - Blue,Head,8902 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-l-blue-19329/,Парина: 1 шт | Тюмень (Народная): 1 шт | Санкт-Петербург (Спортивная): 1 шт | Уфа: 1 шт,4,data\product_images\985d3cad7a5b.png,0,1,0,0,1,0,0,1,1,0
Сумки и чехлы,260104-BK,Рюкзак Head Pro X Racqpack - Black,Head,14993 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-racqpack-black-18638/,Санкт-Петербург (Спортивная): 1 шт | Парина: 1 шт,2,data\product_images\adfc09c799eb.png,0,1,0,0,1,0,0,0,0,0
Сумки и чехлы,1920226,Рюкзак Solinco Tour Team - Black/Green,Solinco,10490 ₽,https://saletennis.com/catalog/product/riukzak-solinco-tour-team-black-green-13191/,Парина: 1 шт | Тюмень (Народная): 1 шт | Соболева: 1 шт | Санкт-Петербург (Спортивная): 1 шт,4,data\product_images\77844a59d9a2.png,0,1,0,1,1,0,0,1,0,0
Сумки и чехлы,261315-NV,Сумка Head Base Racquet Bag M - Navy,Head,5257 ₽,https://saletennis.com/catalog/product/sumka-head-base-racquet-bag-m-navy-18140/,Бисертская: 1 шт,1,data\product_images\24f9b0b898d7.png,0,0,0,0,0,1,0,0,0,0
Сумки и чехлы,WR8023001001,Рюкзак Wilson Team Backpack Heather - Green,Wilson,7992 ₽,https://saletennis.com/catalog/product/riukzak-wilson-team-backpack-heather-green-1-16059/,Соболева: 1 шт,1,data\product_images\8d892f604b11.png,0,0,0,1,0,0,0,0,0,0
Сумки и чехлы,261225-BK,Сумка Head Base Racquet Bag S - Black,Head,4042 ₽,https://saletennis.com/catalog/product/sumka-head-base-racquet-bag-s-black-19312/,Парина: 1 шт,1,data\product_images\ea3ac08507dd.png,0,0,0,0,1,0,0,0,0,0
Сумки и чехлы,WR8030101001,Сумка Wilson Shift Super Tour 9PK V1.0,Wilson,14993 ₽,https://saletennis.com/catalog/product/sumka-wilson-shift-super-tour-9pk-v1-0-15838/,Тюмень (Народная): 1 шт | Уфа: 1 шт | Бисертская: 2 шт | Ижевск: 1 шт | Парина: 1 шт | Санкт-Петербург (Спортивная): 1 шт,7,data\product_images\85e68fb607a3.png,0,1,0,0,1,2,0,1,1,1
Сумки и чехлы,260064-TYBK,Рюкзак Head Pro X Backpack 28L - Thyme/Black,Head,7493 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-backpack-28l-thyme-black-16849/,Санкт-Петербург (Спортивная): 1 шт | Уфа: 2 шт | Ижевск: 1 шт | Парина: 1 шт,5,data\product_images\0063ccf51b84.png,0,1,0,0,1,0,0,0,2,1
Сумки и чехлы,260216-BK,Сумка Head Tour Racquet Bag L - Black,Head,8902 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-l-black-19449/,Тюмень (Народная): 1 шт | Ижевск: 1 шт | Основной склад Екатеринбург: 1 шт | Санкт-Петербург (Спортивная): 1 шт | Парина: 1 шт | Соболева: 1 шт,6,data\product_images\763fb1a50fb0.png,0,1,1,1,1,0,0,1,0,1
Сумки и чехлы,260206-BK,Сумка Head Tour Racquet Bag XL - Black,Head,10117 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-xl-black-19453/,Парина: 1 шт,1,data\product_images\d6ba2984fea7.png,0,0,0,0,1,0,0,0,0,0
